"schoolId","name","oldName","principal","region","province","city","congDist","brgy","street","telNo1","telNo2","fax","cellNo1","cellNo2","website"
"100001","Aglipay Institute of the I.F.I. Inc.",,"Aristotle S Gonzales ","10000000","12800000","12812000","1","II Sta. Balbuena","Cor. Paco And Rizal Sts.","77 7705613","77 0"," ","927 6242565"," ",
"100002","Divine Word College of Laoag","St. William's College","Glorietta  Bolo Sabas Ed.D.","10000000","12800000","12812000","1","13","Gen.Segundo Ave.","77 7720736","77 7721228","77 7721625","0917 7139591","0946 8195960","www.dwcl.edu.ph"
"100003","Holy Spirit Academy of Laoag","Holy Ghost Academy","Marvin Christian Taruc Corpuz ","10000000","12800000","12812000","1","Brgy. 15, San Guillermo","Bonifacio St.","77 7720391","0 0","77 7704165","0925 6331260"," ",
"100004","Northern Christian College Laboratory High School",,"Nelson Sagabaen Lacadin ","10000000","12800000","12812000","1","Brgy. 5","Mabini Street","77 7720052","0 0","77 7721864"," "," ",
"100005","Northwestern University-Laboratory High School","Northwestern College","Thelma Asuncion Corpuz ","10000000","12800000","12812000","1","Brgy. 47 Bengcag","Don Mariano Marcos Avenue","77 6708609","77 6708610","77 7713814"," "," ","www.nwu.edu.ph"
"100006","Pasuquin High School of Ilocos Norte Inc.","Pasuquin Academy","Oriente Palaruan Bello -","10000000","12800000","12817000","1","Brgy. #3","Tandang Sora","0 0","0 0","- -","0916 6408117","0917 5456682","-"
"100007","Roosevelt High School of Piddig Inc.","Roosevelt High School","Rose Amy Cayaban Madamba ","10000000","12800000","12818000","1","Loing","Caridad St.","0 0","0 0"," ","0948 3021918","0925 8080659","-"
"100008","Saint Andrew Academy","Saint Andrew Academy","Gudola Teresita Cabel Albano ","10000000","12800000","12802000","1","1 Sta. Rita",,"77 6703052","0 0"," "," "," ","website@saa.edu.ph"
"100009","Saint Anne Academy",,"Emerlyn Medina Cadaoas ","10000000","12800000","12818000","1","1, Cabaroan","Misericordia","0 0","0 0"," ","0928 9973405"," ","st.anneacademypiddig.blogspot.com"
"100010","Saint James Academy of Pasuquin, Ilocos Norte Inc.","St. James Academy","Grace  Agtina Sales ","10000000","12800000","12817000","1","Poblacion","Maharlika Hiway","0 0","0 0"," ","915 2324704","917 5153681",
"100011","Saint Joseph High School of Laoag, Inc.","Saint Joseph High School","Serafina Cristobal Paulino -","10000000","12800000","12812000","1","Brgy. 28 San Bernabe","Diego Silang","77 7704930","0 0"," "," "," ",
"100012","Saint Jude High School",,"Tito Romeo N. Bonoan ","10000000","12800000","12815000","1","Poblacion","Provincial Road","0 0","0 0","Area Code Telephone Number","0926 6332456","Cell Cellula",
"100013","Saint Lawrence Academy","Saint Lawrence Academy","FLORENCE CARINO CHULNOAN ","10000000","12800000","12804000","1","San Lorenzo","A.Acoba","0 0","0 0","n/a ","929 2408355"," ","n/a"
"100014","Saint Mary's Seminary","St. Mary's Seminary of Laoag City, Inc.","Joel Reynold Parutcha Castillo ","10000000","12800000","12812000","1","Mangato",,"77 6708902","0 0"," ","0930 8471955","0916 5524477",
