schoolId,name,oldName,principal,region,province,city,congDist,brgy,street,telNo1,telNo2,fax,cell1,cell2,website
101953,Pangasinan Universal Institute (Universal Chinese School),,,10000000,15500000,,,7 Rizal St,,0905 5697378,075 5221362,,,,
103752,Divine Grace Montessori and High School of Urdaneta,,,10000000,15500000,,,San Vicente,Macarthur Highway,0949 6781571,075 2040499,,,,
103753,Dingras Faith Academy Inc,,,10000000,12800000,,,Madamba,,0947 992746,,,,0919 9910694,
203754,Lyceum de Amulung,,,20000000,21500000,,,Cordova,,0927 8923427,,,,,
203755,F.L. Vargas College,,,20000000,21500000,,,Caritan Centro,Bagay Road,0927 2577614,078 8466262,,,0926 7488767,
203756,Nueva Vizcaya Bright Child School Inc,,,20000000,25000000,,,Sta. Rosa,National Road,0917 5135333,078 8051800,,,,
303756,Child Jesus Montessori School,,,30000000,31400000,,,Poblacion,21 J.P. Rizal St.,0933 3554252,8156748,,,,
303757,Gardenersfield School Inc.,,,30000000,31400000,,,Purok Sta. Lucia Pinagbarilan,,0917 5832112,044 9317973,,,,
303758,Lord's Shepherds Academy inc,,,30000000,31400000,,,Sta. Cruz,Violeta Village,,044 7940117,,,,
303759,Infant Jesus Academy Pampanga Inc,,,30000000,35400000,,,Pilar Village,Lirio de los Valles St.,,4552679,,,,
303760,Lord Jesus' Blessed Academy of F Homes in Bulacan Inc (Lord Jesus' Blessed Academy),,,30000000,31400000,,,Francisco Homes,Yakal,0916 3710836,,,,,
303761,TFBC School Inc (Tarlac First Baptist Church School Inc),,,30000000,36900000,,,Carangian,,0910 2893929,045 6282868,,,,
303762,"St. John's Academy of San Jose City, Inc.",,,30000000,34900000,,,San Roque cor. Cardenas Sts,,0933 0178764,044 5112924,,,,
303763,Baler Institute (Night),,,30000000,37700000,,,Poblacion,,0919 7029712,,,,,
303764,St. Raphael Montessori School,,,60000000,63000000,,,Mabalas-balas,,0925 3047798,044 8981147,,,,
303096,"John Paul Benedict School of Meycauayan, Inc.",,,30000000,31400000,,,Malhacan,"22 Sampaguita St., Dona Mercedes Village, Daungan St.",0917 4029610,,,,,
303765,Central Luzon Adventist Academy,,,30000000,35400000,,,Bodega,Sitio Bucaran,0919 8798863,,,,0977 2885579,
303766,Shekinah Christian Academy of Bulacan,,,30000000,31400000,,,219 Purok 2 Malamig,,0917 5930287,,,,,
302001,"Christ's Achievers Montessori, Inc.",,,30000000,31400000,,,Muzon,B23 L1-3 Graceville Subd.,0922 4215410,,,,,
303767,Escuela de Santo Padre Pio,,,30000000,31400000,,,Loma de Gato,Hulo St,0922 8176398,,,,,
303038,Saint Mark College,,,30000000,31400000,,,Santa Barbara,,0943 3127573,8166205,,,,
303768,"Smarties Academy of Sta. Maria, Bulacan, Inc.",,,30000000,31400000,,,Poblacion,R. Mercado St.,0916 5902189,,,,,
303769,Lord's Angels Montessori School Inc Malolos City,,,30000000,31400000,,,Bulihan,Alido Heights Subd.,0932 4019791,044 7913281,,,,
302051,Wellspring High School,,,30000000,36900000,,,Cut-cut I,,0908 2775791,045 9250394,,,,
303770,Academia de Pulilan Special Science Curriculum,,,30000000,31400000,,,Cut-cot,national road,0942 0429339,044 9130339,,,,
303771,Solid Ground School,,,30000000,31400000,,,Tabang,Rocka Village,0932 8454042,44,,,,
303772,"Blessed Children Integrated School of Cabiao, Nueva Ecija, Inc",,,30000000,34900000,,,San Fernando Norte,,0925 6310015,044 9585824,,,,
303773,St. Nathanael Academy Inc (St. Nathanael School Inc),,,30000000,31400000,,,San nicolas I,,,045 4351952,,,,
303774,Village Montessori School Inc,,,30000000,31400000,,,Mulawin,Francisco Homes,0928 5035393,044 3070864,,,,
303775,Village Montessori School Inc,,,30000000,34900000,,,Bayanihan,Consuelo Subd.,0921 9890404,044 4861323,,,,
303776,Lord's Angels Montessori School Inc Plaridel,,,30000000,31400000,,,Tabang,Rocka Village II,0933 4114072,044 6702046,,,,
303777,Dominican School of Angeles City Foundation Inc,,,30000000,35400000,,,Mining,,0933 9163353,045 9636965,,,,
303778,Centro Fidei School,,,30000000,35400000,,,Telebstagan,"Ilang Ilang St., Town and Country Homes",0933 5437412,045 8886278,,,,
303779,BLC Integrated School Inc (formerly BLC Internatioonal School Inc),,,30000000,30800000,,,Apollo,,0927 0295034,047 4311737,,,,
303780,Siena College of San Jose Night High School Program,,,30000000,31400000,,,Brgy. Graceville,,0905 4084789,044 8150488,,,,
303781,Hildegarde Von Bingen Academy of San Antonio Inc,,,30000000,34900000,,,Brgy. Rizal,325 Corpuz St,0920 6144622,,,,,
303782,"Smart Achievers Academy - Subic, Inc.",,,30000000,37100000,,,Calapacuan,B4 L3-4 St. James Subd.,0998 5501994,047 3065578,,,,
303783,Bataan Peninsula Educational Institution Inc (University of Nueva Caceres-Bataan),,,30000000,30800000,,,Rizal St.,,0998 5638319,047 2370723,,,,
503784,Immaculate Conception Academy of Bulan,,,50000000,56200000,,,,,,,,,,
503785,"Liceo de San Francisco Mission School, Inc.",,,50000000,54100000,,,Brgy. McArthur,Sitio Kabankalan,0918 5933588,056 5880647,,,0917 8178127,
503786,Sorsogon Our Lady of Salvation College Inc,,,50000000,56200000,,,Balogo,FJ Nicolas,,,,,,
502070,St. Joseph School,,,50000000,51700000,,,Panganiban Drive,,054 8813571,054 4738974,,,,
503787,Sunshine International School Foundation Inc,,,50000000,50500000,,,Dona Maria Subd. ,Fernando Ave.,,052 4832340,,,,
503788,"Rosary School, Inc.",,,50000000,51700000,,,19 J. Del Rosario,,,054 4557004,,,,
603789,Central Philippine Adventist College Inc,,,180000000,184500000,,,Alegria,,,,,,,
603790,St. Therese - MTC Colleges La Fiesta Site Inc,,,60000000,63000000,,,Molo,MH del Pilar St,,033 3000588,,,,
603791,"St. Therese - MTC Colleges, Jalandoni Inc",,,60000000,63000000,,,Magdalo St,,0947 1577019,033 3208275,,,,
603792,St. Therese - MTC Colleges Tigbauan Inc,,,60000000,63000000,,,Brgy. Tan Pael,,0930 2309421,033 5118679,,,,
703793,"Sto. Ni�o Smart - Child Learning Center, Inc.",,,70000000,72200000,,,Bawo,,0936 9800541,032 4308029,,,,
703794,"Holy Infant School-Tagbilaran, Inc.",,,70000000,71200000,,,Booy District,0271 Tomas Cloma Ave.,,038 5010807,,,,
703795,Hosana Learning Center Inc,,,70000000,72200000,,,Taboc Looc,,,032 3502348,,,,
703796,Montessori Academy of Southern Cebu Inc,,,70000000,72200000,,,Lower Calajo-on,,0915 6594595,4900368,,,,
703797,Bright Minds In Action Learning Village,,,70000000,72200000,,,B.M. Arriola St.,,0917 4625595,032 4373300,,,,
703798,Korean Faithful Christian Pilgrims,,,180000000,184600000,,,Candabong,,0926 5935634,,,,,
703799,"Salazar Colleges of Sciences & Institute of Technology, Inc.",,,70000000,72200000,,,Bantayan island,,,,,,,
703800,International Academe of Ensciema Inc,,,70000000,71200000,,,Totolan,,0999 5830768,,,,,
703801,Leaton School Inc.,,,70000000,72200000,,,Sangi,"Lebumfacil St,",,032 2610515,,,,
703802,Marie Ernestine School Lapu -Lapu Inc,,,70000000,72200000,,,Canjulao,Purok Kulo,0922 8508009,032 3403009,,,,
703803,University of Bohol Victoriano C. Tirol-Advanced Learning Center,,,70000000,71200000,,,Taloto,Penaflor St.,,038 4114925,,,,
703804,Bohol Wisdom School,,,70000000,71200000,,,Booy District,,,038 4122467,,,,
703805,Catherina Cittadini (St. Louis) School,,,180000000,184600000,,,Calindagan,,0915 7667520,035 2255582,,,,
