"schoolId","shortName","name","email","oldName","principal","region","province","city","street","telNo","cellNo","fax","website"
"404973","XDHS","Xavier de Damulog High School","rufasalomes@yahoo.com",NULL,"Rufa C. Salomes","10","1013","101302","Purok 3 Poblacion","none","09269017691","none","none"
"404974","SNHSODI","Santo Nino High School of Dangcagan, Inc.","snhsdangcagan@gmail.com",NULL,"Sr. ELAINE L. BAEL,FAS","10","1013","101303","Zone 5 Poblacion","n/a","0905 467 7024 / 0999 746 5020","n/a","n/a"
"404979","SBFA","Southern Bukidnon Foundation Academy","sbfadoncar@yahoo.com",NULL,"Noel P. Aranggo","10","1013","101304","P-1, Don Carlos Norte",,"09068438471",,
"404984","CMA","Cultural Mission Academy","cmagreenland2015@gmail.com",NULL,"Minerva C. Casinabe, MA.ED","10","1013","101308","Purok 4 Rizal Street, West Kibawe","N/A","09177162517 / 09364158948","N/A","N/A"
"404989","SMA","Stella Matutina Academy","ma.stellam.yahoo.com /lydiaperejan@yahoo.com",NULL,"SR. LYDIA T. PEREJAN, MCM","10","1013","101308","RIZAL STREET","n/a","09398905263 / 09279320690","n/a","N/A"
"404993","SHAIS","San Herminigildo Agro-Industrial School Foundation, Inc.","shaisfi@yahoo.com",NULL,"Milagros L. Tan","10","1013","101310","Purok 4 Alanib","NONE","09176325193 and 09178765447","NONE","NONE"
"405012","NONE","Saint Paul Academy","unnaemata@prois.edu.ph",NULL,"Ian G. Basarte","10","1013","101313","Magallanes St.","NONE","09364262633","NONE","NONE"
"405014","none","Holy Cross High School","hchs.official@gmail.com",NULL,"Sr. Ma. Corazon S.  Basadre,RSM","10","1013","101314","Manolo Fortich","NONE","09184608530","NONE","NONE"
"405026","PCHS","Pangantucan Community High School","srvincent_2014_carm@yahoo.com",NULL,"SR Lurian Vincent O. Comaling Carm., O.L.","10","1013","101316","Kinilayan Village, Poblacion","0","09178641968","0","0"
"405033",,"PUNTIAN ACADEMY","nelson.mon.bal@gmail.com",NULL,"NELSON M. BALVEZ","10","1013","101317","Purok - 5",,"09214105372",,
"405040",,"Kalagangan Academy","kalagangan_academy@yahoo.com",NULL,"Erwin D. Maquilan","10","1013","101318","Purok 8, Kalagangan",,"09058285241",,
"405041",,"San Fernando Community College","sanfernando_c@yahoo.com",NULL,"Antonina C. Salazar","10","1013","101318","Purok 3 Halapitan","n/a","090559336971/09175172094//09175427842","n/a","n/a"
"405044",,"Saint Joseph High School of Talakag,Inc.","sjhstalakag_1961@yahoo.com",NULL,"Sr. Irez Jane M. Paclauna,MCM","10","1013","101320","Santiago Street","n/a","09972265470 / 09362494019","n/a","n/a"
"405053","DKCAFI","Dagat Kidavao Christian Academy Foundation, Inc.",,NULL,"MARCELIANO P. LAGUNA","10","1013","101321","Purok  Janiuay",,"09056576943",,
"405073",,"San Jose High School (Sinayawan)","sanjosehs123@gmail.com",NULL,"Mrs. Jemma A. Malalis","10","1013","101321","Sinayawan, Valencia City","0",,"0",
"405082","FLMS","Father Leoni Memorial School Inc.","manny_boksj@yahoo.com",NULL,"Rev. Fr. Manases L. Amanence, SJ","10","1013","101322","Purok 8, Poblacion",,"09173046053",,
"405084","CSMPHS","Columbia St. Michael Parish High School","csmphs_mahinog@yahoo.com",NULL,"Sr. Joseph Mary G. Castro, RSM","10","1018","101803","Poblacion, Mahinog, Camiguin","088-387-30-78","09178949289 / 09173324929","-","-"
